ticker: MNPR3 | cnpj: 90.076.886/0001-40 | id: 13765
ticker: MNDL3 | cnpj: 88.610.191/0001-54 | id: 5312
ticker: MLAS3 | cnpj: 07.816.890/0001-53 | id: 20982
ticker: MILS3 | cnpj: 27.093.558/0001-15 | id: 22012
ticker: MGLU3 | cnpj: 47.960.950/0001-21 | id: 22470
ticker: MGEL4 | cnpj: 61.065.298/0001-02 | id: 8397
ticker: MERC4 | cnpj: 17.184.037/0001-10 | id: 1325
ticker: MELK3 | cnpj: 12.181.987/0001-77 | id: 25119
ticker: MEAL3 | cnpj: 00.416.968/0001-01 | id: 24406
ticker: MDNE3 | cnpj: 12.049.631/0001-84 | id: 21067
ticker: MDIA3 | cnpj: 07.206.816/0001-15 | id: 20338
unmatched: MBRF3 | MBRF Global Foods Company S.A.
ticker: MATD3 | cnpj: 08.723.106/0001-25 | id: 20907
ticker: MAPT4 | cnpj: 10.603.674/0001-34 | id: 23779
ticker: MAPT3 | cnpj: 10.603.674/0001-34 | id: 23779
unmatched: LWSA3 | LOCAWEB SERVI╟OS DE INTERNET S.A.
ticker: LUXM4 | cnpj: 92.660.570/0001-26 | id: 8192
ticker: QUAL3 | cnpj: 11.992.680/0001-93 | id: 22497
ticker: QVQP3B | cnpj: 01.851.771/0001-55 | id: 16284
ticker: RADL3 | cnpj: 61.585.865/0001-51 | id: 5258
ticker: TKNO4 | cnpj: 33.467.572/0001-34 | id: 11231
ticker: UGPA3 | cnpj: 33.256.439/0001-39 | id: 18465
ticker: UCAS3 | cnpj: 04.601.397/0001-28 | id: 27693
ticker: TXRX4 | cnpj: 88.613.658/0001-10 | id: 9539
ticker: TXRX3 | cnpj: 88.613.658/0001-10 | id: 9539
ticker: TUPY3 | cnpj: 84.683.374/0001-49 | id: 6343
unmatched: TTEN3 | TR╩S TENTOS AGROINDUSTRIAL SA
ticker: TRIS3 | cnpj: 08.811.643/0001-27 | id: 21130
unmatched: TRAD3 | TC TRADERS CLUB S.A.
ticker: TPIS3 | cnpj: 03.014.553/0001-91 | id: 19330
ticker: TOTS3 | cnpj: 53.113.791/0001-22 | id: 19992
ticker: TOKY3 | cnpj: 33.041.260/0652-90 | id: 6505
ticker: TKNO3 | cnpj: 33.467.572/0001-34 | id: 11231
ticker: TAEE11 | cnpj: 10.338.320/0001-00 | id: 22179
ticker: TIMS3 | cnpj: 02.558.115/0001-21 | id: 17639
ticker: TGMA3 | cnpj: 02.351.144/0001-18 | id: 20800
ticker: TFCO4 | cnpj: 59.418.806/0001-47 | id: 25208
ticker: TEND3 | cnpj: 61.022.042/0001-18 | id: 4723
ticker: TELB4 | cnpj: 04.601.397/0001-28 | id: 27693
ticker: TELB3 | cnpj: 04.601.397/0001-28 | id: 27693
ticker: TECN3 | cnpj: 09.295.063/0001-97 | id: 22519
ticker: TCSA3 | cnpj: 33.386.210/0001-19 | id: 10880
ticker: TASA4 | cnpj: 92.781.335/0001-02 | id: 6173
ticker: TASA3 | cnpj: 92.781.335/0001-02 | id: 6173
ticker: TAEE4 | cnpj: 10.338.320/0001-00 | id: 22179
ticker: UNIP3 | cnpj: 33.958.695/0001-78 | id: 11592
ticker: UNIP5 | cnpj: 33.958.695/0001-78 | id: 11592
ticker: UNIP6 | cnpj: 33.958.695/0001-78 | id: 11592
ticker: USIM3 | cnpj: 60.894.730/0001-05 | id: 14320
unmatched: YDUQ3 | ESTACIO PARTICIPACOES S.A.
ticker: WLMM4 | cnpj: 33.228.024/0001-51 | id: 11070
ticker: WLMM3 | cnpj: 33.228.024/0001-51 | id: 11070
ticker: WIZC3 | cnpj: 42.278.473/0001-03 | id: 23590
ticker: WHRL4 | cnpj: 59.105.999/0001-86 | id: 14346
ticker: WHRL3 | cnpj: 59.105.999/0001-86 | id: 14346
ticker: WEST3 | cnpj: 14.776.142/0001-50 | id: 25518
ticker: WEGE3 | cnpj: 84.429.695/0001-11 | id: 5410
unmatched: WDCN3 | LIVETECH DA BAHIA INDUSTRIA E COMERCIO S.A
unmatched: VVEO3 | CM HOSPITALAR S.A.
ticker: VULC3 | cnpj: 50.926.955/0001-42 | id: 11762
unmatched: VTRU3 | VITRU BRASIL EMPREEND. PARTICIP. E COMERCIO S.A.
ticker: VSTE3 | cnpj: 08.364.948/0001-38 | id: 21490
ticker: VLID3 | cnpj: 33.113.309/0001-47 | id: 20028
ticker: VIVT3 | cnpj: 02.558.157/0001-62 | id: 17671
ticker: VIVR3 | cnpj: 67.571.414/0001-41 | id: 20702
ticker: VIVA3 | cnpj: 33.839.910/0001-11 | id: 24805
unmatched: VITT3 | VITTIA FERTILIZANTES E BIOLOGICOS S.A.
ticker: VBBR3 | cnpj: 34.274.233/0001-02 | id: 24295
ticker: VAMO3 | cnpj: 23.373.000/0001-32 | id: 24716
ticker: VALE3 | cnpj: 33.592.510/0001-54 | id: 4170
ticker: USIM6 | cnpj: 60.894.730/0001-05 | id: 14320
ticker: USIM5 | cnpj: 60.894.730/0001-05 | id: 14320
ticker: TAEE3 | cnpj: 10.338.320/0001-00 | id: 22179
ticker: SYNE3 | cnpj: 08.801.621/0001-86 | id: 21040
ticker: RAIL3 | cnpj: 02.387.241/0001-60 | id: 17450
ticker: RIAA3 | cnpj: 33.014.556/0001-96 | id: 8087
ticker: SANB11 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: RSUL4 | cnpj: 59.104.513/0001-95 | id: 22381
ticker: RSID3 | cnpj: 61.065.751/0001-80 | id: 16306
ticker: RPMG3 | cnpj: 33.412.081/0001-96 | id: 9989
ticker: RPAD6 | cnpj: 17.167.396/0001-69 | id: 9954
ticker: RPAD5 | cnpj: 17.167.396/0001-69 | id: 9954
ticker: RPAD3 | cnpj: 17.167.396/0001-69 | id: 9954
ticker: ROMI3 | cnpj: 60.851.615/0001-53 | id: 1520
ticker: RNEW4 | cnpj: 08.439.659/0001-50 | id: 20540
ticker: RNEW3 | cnpj: 08.439.659/0001-50 | id: 20540
ticker: RNEW11 | cnpj: 08.439.659/0001-50 | id: 20540
ticker: RENT4 | cnpj: 16.670.085/0001-55 | id: 19739
ticker: SUZB3 | cnpj: 60.651.809/0001-05 | id: 9067
ticker: RENT3 | cnpj: 16.670.085/0001-55 | id: 19739
ticker: REDE3 | cnpj: 01.851.771/0001-55 | id: 16284
ticker: RECV3 | cnpj: 33.000.167/0001-01 | id: 9512
ticker: RDOR3 | cnpj: 52.805.925/0001-03 | id: 27570
ticker: RDNI3 | cnpj: 60.884.319/0001-59 | id: 9083
ticker: RCSL4 | cnpj: 91.333.666/0001-17 | id: 12572
ticker: RCSL3 | cnpj: 91.333.666/0001-17 | id: 12572
ticker: RAPT4 | cnpj: 47.080.619/0001-17 | id: 20940
ticker: RAPT3 | cnpj: 47.080.619/0001-17 | id: 20940
unmatched: RANI3 | Irani Papel e Embalagem S.A.
unmatched: RAIZ4 | RAIZEN S.A.
ticker: SANB3 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: SANB4 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: SAPR11 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: SAPR3 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: SULA11 | cnpj: 29.978.814/0001-87 | id: 21121
ticker: STBP3 | cnpj: 28.127.603/0001-78 | id: 1155
ticker: SRNA3 | cnpj: 08.439.659/0001-50 | id: 20540
ticker: SOND6 | cnpj: 02.762.122/0001-40 | id: 17906
ticker: SOND5 | cnpj: 02.762.122/0001-40 | id: 17906
ticker: SOND3 | cnpj: 02.762.122/0001-40 | id: 17906
ticker: SOMA3 | cnpj: 33.041.260/0652-90 | id: 6505
ticker: SOJA3 | cnpj: 10.807.374/0001-77 | id: 25704
ticker: SNSY5 | cnpj: 14.807.945/0001-24 | id: 12696
ticker: SNSY3 | cnpj: 14.807.945/0001-24 | id: 12696
ticker: SMTO3 | cnpj: 51.466.860/0001-56 | id: 20516
ticker: SMFT3 | cnpj: 07.594.978/0001-78 | id: 24260
ticker: SLCE3 | cnpj: 89.096.457/0001-55 | id: 20745
ticker: SIMH3 | cnpj: 07.415.333/0001-20 | id: 25003
ticker: SHUL4 | cnpj: 84.693.183/0001-68 | id: 14664
ticker: SHOW3 | cnpj: 02.860.694/0001-62 | id: 22454
ticker: SEQL3 | cnpj: 01.599.101/0001-93 | id: 25160
ticker: SEER3 | cnpj: 04.986.320/0001-13 | id: 23221
ticker: SCAR3 | cnpj: 29.780.061/0001-09 | id: 13781
ticker: SBSP3 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: SBFG3 | cnpj: 33.041.260/0652-90 | id: 6505
ticker: SAUD3 | cnpj: 58.119.199/0001-51 | id: 20125
ticker: SAPR4 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: INTB3 | cnpj: 06.164.253/0001-87 | id: 19569
ticker: INEP4 | cnpj: 02.225.714/0001-23 | id: 16730
ticker: INEP3 | cnpj: 02.225.714/0001-23 | id: 16730
ticker: BPAC3 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BRSR3 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BRKM6 | cnpj: 42.150.391/0001-70 | id: 4820
ticker: BRKM5 | cnpj: 42.150.391/0001-70 | id: 4820
ticker: BRKM3 | cnpj: 42.150.391/0001-70 | id: 4820
ticker: BRFS3 | cnpj: 01.838.723/0001-27 | id: 16292
unmatched: BRBI11 | BR ADVISORY PARTNERS PARTICIPA╟╒ES S.A.
ticker: BRAV3 | cnpj: 12.091.809/0001-55 | id: 25291
ticker: BRAP4 | cnpj: 09.346.601/0001-25 | id: 21610
ticker: BRAP3 | cnpj: 09.346.601/0001-25 | id: 21610
ticker: BPAN4 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BPAC5 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BPAC11 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BGIP4 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BOBR4 | cnpj: 50.564.053/0001-03 | id: 12190
ticker: BNBR3 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BMOB3 | cnpj: 09.042.817/0001-05 | id: 25500
ticker: BMKS3 | cnpj: 56.992.423/0001-90 | id: 1694
ticker: BMIN4 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BMIN3 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BMGB4 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BMEB4 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BMEB3 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BLAU3 | cnpj: 58.430.828/0001-60 | id: 24627
ticker: BIOM3 | cnpj: 04.752.991/0001-10 | id: 19305
ticker: BRSR5 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BRSR6 | cnpj: 28.195.667/0001-06 | id: 20958
ticker: BRST3 | cnpj: 04.601.397/0001-28 | id: 27693
ticker: BSLI3 | cnpj: 00.000.208/0001-00 | id: 14206
ticker: CLSC3 | cnpj: 06.082.980/0001-03 | id: 21300
ticker: CLSA3 | cnpj: 24.956.666/0001-86 | id: 18490
ticker: CGRA4 | cnpj: 92.012.467/0001-70 | id: 4537
ticker: CGRA3 | cnpj: 92.012.467/0001-70 | id: 4537
ticker: CGAS5 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CGAS3 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEGR3 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEED3 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEEB5 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEEB3 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEDO4 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEDO3 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEBR6 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEBR5 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEBR3 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CEAB3 | cnpj: 45.242.914/0001-05 | id: 24848
ticker: CBEE3 | cnpj: 33.050.071/0001-58 | id: 3050
ticker: CBAV3 | cnpj: 21.240.146/0001-84 | id: 25658
ticker: CASH3 | cnpj: 14.110.585/0001-07 | id: 25232
ticker: CAML3 | cnpj: 64.904.295/0001-03 | id: 24228
ticker: CAMB3 | cnpj: 61.088.894/0001-08 | id: 2100
ticker: CALI3 | cnpj: 61.022.042/0001-18 | id: 4723
